name,address,website,postal_code,G3,G6,school_level
Adelaide Hoodless Public School (Hamilton),"181 First Ave, Sudbury, Ontario, P3B3L3",http://www.rainbowschools.ca/elementary/adamsdale/index.php,P3B3L3,72.5,77.33333333333333,Elementary
Adelaide Mclaughlin Public School (Oshawa),"71 Maplewood Avenue, Hamilton, Ontario, L8M1W7",http://schools.hwdsb.on.ca/adelaidehoodless/,L8M1W7,72.5,77.33333333333333,Elementary
Adelaide - W G MacDonald Public School (Strathroy),"630 Stevenson Rd N, Oshawa, Ontario, L1J5P1",http://adelaide.ddsbschools.ca/,L1J5P1,72.5,77.33333333333333,Elementary
Adjala Central Public School (Loretto),"29059 School Road, Strathroy, Ontario, N7G3H6",http://www.tvdsb.ca/Adelaide.cfm,N7G3H6,72.5,77.33333333333333,Elementary
Admaston Township Public School (Renfrew),"9091 County Rd 1, Loretto, Ontario, L0G1L0",http://adj.scdsb.on.ca/,L0G1L0,72.5,77.33333333333333,Elementary
Admiral Collingwood Elementary School (Collingwood),"182 Stone Road RR2, Renfrew, Ontario, K7V3Z5",http://adm.rcdsb.on.ca/,K7V3Z5,72.5,77.33333333333333,Elementary
Adrienne Clarkson Elementary School (Nepean),"15 Dey Dr, Collingwood, Ontario, L9Y4N9",http://adm.scdsb.on.ca/,L9Y4N9,72.5,77.33333333333333,Elementary
Adrienne Clarkson Public School (Richmond Hill),"170 Stoneway Dr, Nepean, Ontario, K2G6R2",https://adrienneclarksones.ocdsb.ca/,K2G6R2,72.5,77.33333333333333,Elementary
Africentric Alternative School (Toronto),"68 Queens College Dr, Richmond Hill, Ontario, L4B1X3",http://adrienneclarkson.ps.yrdsb.ca/,L4B1X3,72.5,77.33333333333333,Elementary
Agincourt Junior Public School (Toronto),"1430 Sheppard Avenue West, Toronto, Ontario, M3M2W9",http://schoolweb.tdsb.on.ca/africentricschool,M3M2W9,72.5,77.33333333333333,Elementary
Agincourt Road Public School (Ottawa),"29 Lockie Ave, Toronto, Ontario, M1S1N3",http://www.tdsb.on.ca/MOSS/asp_apps/school_landing_page/index.asp?schno,M1S1N3,72.5,77.33333333333333,Elementary
Agnes Hodge Public School (Brantford),"1250 Agincourt Rd, Ottawa, Ontario, K2C2J2",https://agincourtps.ocdsb.ca/,K2C2J2,72.5,77.33333333333333,Elementary
Agnes Macphail Public School (Scarborough),"52 Clench Ave, Brantford, Ontario, N3T1B6",http://www.granderie.ca/agneshodge/,N3T1B6,72.5,77.33333333333333,Elementary
Agnes Taylor Public School (Brampton),"112 Goldhawk Trail, Scarborough, Ontario, M1V1W5",http://schoolweb.tdsb.on.ca/agnesmacphail/,M1V1W5,72.5,77.33333333333333,Elementary
Aileen Wright English Catholic School (Cochrane),"80 Beech St., Brampton, Ontario, L6V1V6",http://schools.peelschools.org/1526/Pages/default.aspx,L6V1V6,72.5,77.33333333333333,Elementary
A J Baker Public School (Kintore),"75 Sixth St, Cochrane, Ontario, P0L1C0",http://www.ncdsb.on.ca/,P0L1C0,72.5,77.33333333333333,Elementary
A J Charbonneau Elementary Public School (Arnprior),"195910 19th Line, Kintore, Ontario, N0M2C0",http://www.tvdsb.ca/Baker.cfm,N0M2C0,72.5,77.33333333333333,Elementary
A K Wigg Public School (Fonthill),"225 B Baskin Dr W RR 2, Arnprior, Ontario, K7S0E3",http://ajc.rcdsb.on.ca/,K7S0E3,72.5,77.33333333333333,Elementary
Albion Heights Junior Middle School (Etobicoke),"Box 740, 1337 Haist St, Fonthill, Ontario, L0S1E0",http://akwigg.dsbn.org/,L0S1E0,72.5,77.33333333333333,Elementary
Alcona Glen Elementary School (Innisfil),"45 Lynmont Rd, Etobicoke, Ontario, M9V3W9",http://schoolweb.tdsb.on.ca/albionheights,M9V3W9,72.5,77.33333333333333,Elementary
