0
AAEC's/e-Learning (Lindsay)
Abbey Park High School (Oakville)
A B Lucas Secondary School (London)
Académie catholique Ange-Gabriel (Brockville)
ACCESS Program (RICHMOND HILL)
Acton District High School (Acton)
Adam Scott Collegiate and Vocational Institute (Peterborough)
Adult Day School (Sudbury)
Adult High School (Ottawa)
Agincourt Collegiate Institute (Agincourt)
Ajax High School (Ajax)
Albert Campbell Collegiate Institute (Toronto)
Aldershot High School (Burlington)
Alexander MacKenzie High School (Richmond Hill)
Alexander Mackenzie Secondary School (Sarnia)
Algoma Education Connection Secondary School (Sault Ste Marie)
All Saints Catholic High School (Kanata)
All Saints Catholic Secondary School Secondary School (Whitby)
Almaguin Highlands Secondary School (South River)
Almonte District High School (Almonte)
ALPHA II Alternative School (Toronto)
Alternative Scarborough Education 1 (Scarborough)
Ancaster High School (Ancaster)
Anderson Collegiate and Vocational Institute (Whitby)
A N Myer Secondary School (Niagara Falls)
Applewood Acres Secondary School (MISSISSAUGA)
Applewood Heights Secondary School (Mississauga)
Archbishop Denis O'Connor Catholic High School (Ajax)
Arnprior District High School (Arnprior)
Arthur Voaden Secondary School (St Thomas)
Ascension of Our Lord Secondary School (Mississauga)
Assumption Catholic Secondary School (Burlington)
Assumption College School (Windsor)
Assumption College School High School (Brantford)
Athens District High School (Athens)
Atikokan High School (Atikokan)
Aurora High School (Aurora)
Avondale Secondary Alternative School (North York)
Avon Maitland District E-learning Centre (Clinton)
A Y Jackson Secondary School (Toronto)
A.Y. Jackson Secondary School (Kanata)
Banting Memorial District High School (Alliston)
Barrie North Collegiate Institute (Barrie)
Barrydowne College Senior (Sudbury)
Bayridge Learning Centre (Kingston)
Bayridge Secondary School (Kingston)
Bayside Secondary School (Belleville)
Bayview Secondary School (Richmond Hill)
B Davison Secondary School Secondary School (London)
Beamsville District Secondary School (Beamsville)
Bear Creek Secondary School (Barrie)
Beaver Brae Secondary School (Kenora)
Belle River District High School (Belle River)
Bell High School (Nepean)
Bernie Custis Secondary School Secondary School (Hamilton)
Bill Crothers Secondary School (Unionville)
Bill Hogarth Secondary School (Markham)
Birchmount Park Collegiate Institute (Scarborough)
Bishop Alexander Carter Catholic Secondary School (Hanmer)
Bishop Allen Academy Catholic Secondary School (Toronto)
Bishop Macdonell Catholic Secondary School (Guelph)
Bishop Marrocco/Thomas Merton Catholic Secondary School (Toronto)
Bishop Paul Francis Reding Catholic Secondary School (Milton)
Bishop Ryan Catholic Secondary School (Hannon)
Bishop Smith Catholic High School (Pembroke)
Bishop Tonnos Catholic Secondary School (Ancaster)
Blenheim District High School (Blenheim)
Blessed Trinity Catholic Secondary School (Grimsby)
Bloor Collegiate Institute (Toronto)
Bluevale Collegiate Institute (Waterloo)
Bowmanville High School (Bowmanville)
Bracebridge and Muskoka Lakes Secondary School (Bracebridge)
Bradford District High School (Bradford)
Bramalea Secondary School (Brampton)
Brampton Centennial Secondary School (Brampton)
Brantford Collegiate Institute and Vocational School (Brantford)
